Size,ScheduleNet,CP-SAT,MOR,SPT,FIFO
"6 x 6	",69.146529,57.016116,77.251966,88.437007,79.852072
10 x 10,63.869231,49.542565,69.67696,104.13962,85.343524
15 x 15,93.079859,54.63093,93.995733,121.863467,112.870273
20 x 20,85.510641,57.460831,93.75364,134.840459,134.925943
30 x 20,104.459117,58.028884,105.667372,151.197714,120.795919
50 x 20,117.659062,93.491456,117.654575,189.545966,128.743975
100 x 20,206.999115,121.394246,213.147414,224.659245,174.357871
