name,Complete,KNN_50_30,KNN_50_20,KNN_50_15,KNN_50_10,KNN_50_5,KNN_50_1,FI,NI,NN,RI,ORTOOLS
0000_uf5bb8d-300-30,1.846,1.908,1.769,1.833,1.784,2.009,2.468,1.96,1.964,2.012,1.912,2.671
0001_ubbb585-300-30,1.762,1.727,1.72,1.648,1.644,1.846,1.976,1.867,1.842,1.913,1.847,1.646
0002_u3ab36f-300-30,1.661,1.782,1.615,1.617,1.616,1.782,2.213,1.927,1.849,1.894,1.794,4.073
0003_u03ddd7-300-30,2.017,2.072,1.957,1.932,1.95,2.133,2.68,2.203,2.108,2.295,2.158,2.508
0004_ue08722-300-30,2.409,2.327,2.37,2.297,2.412,2.489,3.396,2.573,2.482,2.51,2.474,2.367
0005_u06f7e5-300-30,1.736,1.808,1.721,1.677,1.675,1.867,2.43,2.057,1.852,1.868,1.813,2.871
0006_ub93892-300-30,1.989,1.9,1.901,1.889,1.911,2.037,2.749,2.207,2.159,2.188,2.158,2.682
0007_u755a6b-300-30,2.342,2.356,2.276,2.323,2.286,2.455,3.326,2.444,2.45,2.382,2.592,2.464
0008_u76e86b-300-30,1.628,1.703,1.67,1.598,1.591,1.699,1.883,1.766,1.732,1.681,1.785,2.819
0009_uf3a241-300-30,2.032,2.003,1.999,1.989,1.992,2.115,2.668,2.444,2.131,2.274,2.236,2.21
0010_ucf3101-300-30,2.108,2.201,2.138,2.17,2.104,2.28,2.988,2.253,2.35,2.334,2.331,3.703
0011_u42fbd7-300-30,2.406,2.389,2.481,2.382,2.438,2.494,3.557,2.73,2.517,2.596,2.704,3.452
0012_u9d5c69-300-30,2.551,2.503,2.599,2.505,2.548,2.596,3.477,2.701,2.575,2.547,2.574,2.675
0013_ue67009-300-30,2.293,2.281,2.282,2.327,2.29,2.466,3.853,2.615,2.537,2.594,2.53,2.281
0014_ub600d6-300-30,1.665,1.667,1.645,1.587,1.635,1.701,1.933,1.692,1.636,1.644,1.636,2.803
0015_u4c2907-300-30,1.751,1.651,1.705,1.778,1.666,1.629,2.312,1.842,1.646,1.8,1.812,2.902
0016_u6adb8b-300-30,1.66,1.633,1.641,1.632,1.64,1.657,2.085,1.76,1.737,1.7,1.732,3.075
0017_u1089e1-300-30,2.291,2.196,2.305,2.229,2.206,2.353,3.502,2.4,2.309,2.398,2.362,3.255
0018_u3856a1-300-30,2.162,2.129,2.138,2.131,2.133,2.195,2.88,2.543,2.443,2.472,2.313,2.313
0019_uf1df6d-300-30,1.825,1.77,1.742,1.655,1.751,1.789,2.151,1.996,1.772,1.97,1.797,4.716
0020_u269314-300-30,2.277,2.33,2.254,2.254,2.254,2.408,3,2.498,2.374,2.342,2.42,3.247
0021_ue58c71-300-30,2.081,2.078,1.972,2.03,1.968,2.112,2.497,2.138,2.188,2.121,2.171,2.802
0022_uce0cde-300-30,2.056,2.02,2.045,1.989,2.056,2.163,2.968,2.163,2.233,2.18,2.252,2.781
0023_ud2f4a7-300-30,1.835,1.844,1.836,1.841,1.906,1.908,2.156,2.004,1.979,2.036,2.078,2.649
0024_u6781df-300-30,1.59,1.673,1.576,1.632,1.516,1.599,1.869,1.825,1.765,1.781,1.699,2.734
MEAN MAKESPAN,1.999,1.998,1.974,1.958,1.959,2.071,2.681,2.184,2.105,2.141,2.127,2.868
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
